Week,Week_Number,Open,High,Low,Close,Return
2024-01-01/2024-01-07,1,2062.598,2078.825,2024.255,2035.715,-0.013033562526483577
2024-01-08/2024-01-14,2,2035.665,2062.145,2013.225,2054.235,0.00912232611947461
2024-01-15/2024-01-21,3,2054.215,2058.505,2001.755,2025.405,-0.01402482213400258
2024-01-22/2024-01-28,4,2025.335,2037.808,2009.455,2026.185,0.000419683657271408
2024-01-29/2024-02-04,5,2026.205,2065.348,2020.485,2031.825,0.002773658144166191
2024-02-05/2024-02-11,6,2031.785,2044.465,2014.835,2023.075,-0.004286870904155693
2024-02-12/2024-02-18,7,2023.105,2032.845,1984.088,2018.985,-0.0020364736382936233
2024-02-19/2024-02-25,8,2018.985,2041.285,2013.185,2032.038,0.006465129755793164
2024-02-26/2024-03-03,9,2032.095,2050.605,2024.355,2045.425,0.006559732689662701
